questions	answers
where was the battle of the bulge fought	<Tr> <Th> Date </Th> <Td> 16 December 1944--25 January 1945 </Td> </Tr> <Tr> <Th> Location </Th> <Td> The Ardennes: Belgium, Luxembourg </Td> </Tr> <Tr> <Th> Result </Th> <Td> Allied victory <Ul> <Li>
who built the first known civilization in the americas	In the late Archaic, on the north-central coastal region of Peru, a complex civilization arose which has been termed the Norte Chico civilization, also known as Caral-Supe.
harry potter and the philosiphers stone release date	The film was released in theatres in the United Kingdom and the United States on 16 November 2001.
who played in the original phantom of the opera	The production, still playing at Her Majesty's, celebrated its 10,000 th performance on 23 October 2010, with Lloyd Webber and the original Phantom, Michael Crawford, in attendance.
who advocated the teaching of western learning with the english as a medium of education in india	The English Education Act was a legislative Act of the Council of India in 1835 giving effect to a decision in 1835 by Lord William Bentinck, then Governor-General of British India, to reallocate funds the East India Company was required by the British Parliament to spend on education and literature in India.
what is the range of a 300 win mag	Maximum effective range is generally accepted to be 1,210 yards (1,110 m) with ammunition incorporating low-drag projectiles.
who plays bell in beauty and the beast	American actress Susan Egan originated the role of Belle in the Broadway musical adaptation of the film, for which she was nominated for a Tony Award for Best Actress in a Musical.
is an encoding for english alphanumeric characters as 7-bit numbers	Originally based on the English alphabet, ASCII encodes 128 specified characters into seven-bit integers as shown by the ASCII chart above.
who choreographed the ballet comique de la reine	The ballet was choreographed by Balthasar de Beaujoyeulx and was the first piece to combine poetry, music, design and dance according to the rules of Jean-Antoine de BaÃ¯f's AcadÃ©mie de PoÃ©sie et de Musique.
when was the last year quarters were made of silver	They were issued from 1932 through 1964.
who made my little pony friendship is magic	My Little Pony: Friendship Is Magic is a children's animated fantasy television series created by Lauren Faust for Hasbro.
where was the movie the 6th day filmed	The 6th Day was filmed in Vancouver, British Columbia, Canada and Toronto, Ontario, Canada.
who sang and i think to myself what a wonderful world	It was first recorded by Louis Armstrong and released in 1967 as a single, which topped the pop charts in the United Kingdom.
who wrote the music for over the garden wall	Various melodies and songs based on pre-1950s music are heard throughout the series. Elijah Wood, the voice actor for Wirt, has said that ``if this show were a record, it would be played on a phonograph''. Songs from the series include ``Into the Unknown'', its title song, composed by Patrick McHale and sung by Jack Jones; ``A Courting Song'', composed by the Petrojvic Blasting Company and performed by Frank Fairfield; and ``Come Wayward Souls'', sung by Samuel Ramey as the Beast.
where was the cowboys with john wayne filmed	It was filmed at various locations in New Mexico, Colorado and at Warner Brothers Studio in Burbank, California.
who has won the icc world cup of 2011	India won the tournament, defeating Sri Lanka by 6 wickets in the final at Wankhede Stadium in Mumbai, thus becoming the first country to win the Cricket World Cup final on home soil.
how the bill is passed in parliament of india	An amendment bill must be passed by each House of the Parliament by a majority of the total membership of that House when at least two-thirds members are present and voted.
where did the tradition of toasting come from	According to various apocryphal stories, the custom of touching glasses evolved from concerns about poisoning. By one account, clinking glasses together would cause each drink to spill over into the others' (though there is no real evidence for such an origin). According to other stories, the word toast became associated with the custom in the 17th century, based on a custom of flavoring drinks with spiced toast. The word originally referred to the lady in whose honor the drink was proposed, her name being seen as figuratively flavoring the drink. The International Handbook on Alcohol and Culture says toasting ``is probably a secular vestige of ancient sacrificial libations in which a sacred liquid was offered to the gods: blood or wine in exchange for a wish, a prayer summarized in the words' long life !' or' to your health !'''
when was the game of chess first invented	The history of chess can be traced back nearly 1500 years, although the earliest origins are uncertain. The earliest predecessor of the game probably originated in India, before the 6th century AD; a minority of historians believe the game originated in China. From India, the game spread to Persia. When the Arabs conquered Persia, chess was taken up by the Muslim world and subsequently spread to Southern Europe. In Europe, chess evolved into roughly its current form in the 15th century.
